TRADE_DATE,INDEX_CODE,OPEN,HIGH,LOW,CLOSE,VOLUME,AMOUNT,DATE_KEY,UNIQUE_KEY
2021-06-07,2399006,3240.95,3241.77,3197.91,3228.24,10185.12,19258559.6928,20210607,2399006_20210607
2019-01-28,1000039,2520.03,2544.34,2499.35,2508.87,552.19,792598.016,20190128,1000039_20190128
2019-04-19,1000001,3250.15,3274.33,3226.81,3270.8,31519.8,31513192.0384,20190419,1000001_20190419
2022-01-14,2399006,3059.14,3128.25,3057.94,3119.41,15850.18,27146159.7184,20220114,2399006_20220114
2019-09-09,1000039,3845.44,3969.78,3816.96,3969.78,1712.49,3699919.2576,20190909,1000039_20190909
2022-06-28,2399006,2827.35,2850.29,2771.93,2840.42,13973.98,24094023.68,20220628,2399006_20220628
2020-02-21,1000039,5166.59,5384.39,5166.51,5326.57,2171.89,5863482.9824,20200221,1000039_20200221
2019-04-22,1000001,3278.49,3279.49,3206.88,3215.04,35321.74,35915428.6592,20190422,1000001_20190422
2020-02-10,1000688,1310.53,1336.53,1293.43,1322.25,593.29,3005230.6944,20200210,1000688_20200210
2020-09-28,1000039,4663.96,4682.09,4627.49,4630.34,307.83,995705.6512,20200928,1000039_20200928
